CandID,Candidate_Age,Date_taken,sibling1_age,sibling2_age,sibling3_age,sibling4_age,sibling5_age,sibling6_age
856910,19.3,2015-05-26,3,NA,NA,NA,NA,NA
467156,19,2015-05-26,4,3,due 7/12/15,NA,NA,NA
919971,17.2,2015-05-26,4,NA,NA,NA,NA,NA
601402,18.3,2015-05-26,3,NA,NA,NA,NA,NA
930280,19.6,2015-05-26,4,NA,NA,NA,NA,NA
414511,18.8,2015-05-26,3,NA,NA,NA,NA,NA
103806,19,2015-05-26,2,NA,NA,NA,NA,NA
299388,17.3,2015-05-26,4,NA,NA,NA,NA,NA
794999,19.2,2015-05-26,5,NA,NA,NA,NA,NA
902915,19.7,2015-05-26,5,3,NA,NA,NA,NA
603793,19.8,2015-05-26,5 years,NA,NA,NA,NA,NA
197264,19,2015-05-26,3,3,NA,NA,NA,NA
282801,17.5,2015-05-26,3,NA,NA,NA,NA,NA
139712,18.2,2015-05-26,1,16,14,NA,NA,NA
593718,17.7,2015-05-26,4,NA,NA,NA,NA,NA
180263,18.2,2015-05-26,1,16,14,NA,NA,NA
177154,18.1,2015-05-26,3.5,NA,NA,NA,NA,NA
663041,18,2015-05-26,6,NA,NA,NA,NA,NA
672771,19.2,2015-05-26,4,NA,NA,NA,NA,NA
915053,19.8,2015-05-26,4,NA,NA,NA,NA,NA
853607,18.5,2015-05-26,3,NA,NA,NA,NA,NA
205817,19.3,2015-05-26,10,6,NA,NA,NA,NA
662508,18.6,2015-05-26,4,NA,NA,NA,NA,NA
900816,19.7,2015-05-26,4,NA,NA,NA,NA,NA
860439,19.3,2015-05-26,ADB,NA,NA,NA,NA,NA
157293,17.3,2015-05-26,3.5,NA,NA,NA,NA,NA
721304,19.4,2015-05-26,19 months,NA,NA,NA,NA,NA
434835,17.4,2015-05-26,4,NA,NA,NA,NA,NA
555753,17.6,2015-05-26,5.5 years,NA,NA,NA,NA,NA
647078,19.6,2015-05-26,2 months,NA,NA,NA,NA,NA
304769,18.3,2015-05-26,3,NA,NA,NA,NA,NA
470807,17.1,2015-05-27,3,NA,NA,NA,NA,NA
211198,19.8,2015-05-27,7.5,6,NA,NA,NA,NA
389666,19.1,2015-05-27,6,NA,NA,NA,NA,NA
356751,18.8,2015-05-27,5,NA,NA,NA,NA,NA
317016,19.3,2015-05-27,6,4,1,NA,NA,NA
952175,18.5,2015-05-27,1.5,NA,NA,NA,NA,NA
613397,19.2,2015-05-27,4,NA,NA,NA,NA,NA
217832,17.5,2015-05-27,3,NA,NA,NA,NA,NA
517599,17.2,2015-05-27,3,NA,NA,NA,NA,NA
957031,19.7,2015-05-28,5,NA,NA,NA,NA,NA
252435,18.9,2015-05-28,4,NA,NA,NA,NA,NA
391866,18.7,2015-05-28,4,NA,NA,NA,NA,NA
320563,19.1,2015-05-28,3,NA,NA,NA,NA,NA
667626,19.1,2015-05-30,6.5,NA,NA,NA,NA,NA
740161,18.6,2015-05-30,3,NA,NA,NA,NA,NA
695373,17.9,2015-06-01,4,NA,NA,NA,NA,NA
817131,19.1,2015-06-01,5,NA,NA,NA,NA,NA
676371,18.6,2015-06-03,4,NA,NA,NA,NA,NA
787570,18.8,2015-06-04,5,NA,NA,NA,NA,NA
222419,18.1,2015-06-09,3,NA,NA,NA,NA,NA
338333,18,2015-06-11,5,NA,NA,NA,NA,NA
642472,19.4,2015-06-12,3,NA,NA,NA,NA,NA
794907,18.5,2015-06-12,3,NA,NA,NA,NA,NA
252628,17.8,2015-06-12,4,NA,NA,NA,NA,NA
945937,20.1,2015-06-12,7,4,NA,NA,NA,NA
