age_bin,sex,birth_order,n,lex_fit_pvalue,lex_fit_cfi,lex_fit_tli,lex_fit_rmsea,lex_fit_srmr,syn_fit_pvalue,syn_fit_cfi,syn_fit_tli,syn_fit_rmsea,syn_fit_srmr
"[16,20]",NA,NA,2273,0,0.9230443179810413,0.9090523757957761,0.14650770781759698,0.031728160878465826,8.060219158778636e-14,0.990627619928371,0.984379366547285,0.059539792218720425,0.014857493960566317
"(20,24]",NA,NA,1248,0,0.9171991372109749,0.9021444348856975,0.15698459385446448,0.031655790225461236,5.466738173254271e-13,0.9890098059651018,0.9816830099418363,0.07799765774306854,0.01651687398516793
"(24,28]",NA,NA,1506,0,0.8957109878684135,0.8767493492990341,0.1726930800940757,0.03568491817426422,8.881784197001252e-16,0.9910825476536186,0.9851375794226975,0.07797796826155232,0.013099031858653626
"(28,36]",NA,NA,493,0,0.8707713555601146,0.8472752383892264,0.18373137232527717,0.04585858687267881,1.8939667528750093e-6,0.9882468174592822,0.980411362432137,0.08793064446587796,0.017058055992155277
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Female,NA,1989,0,0.9155621330280235,0.9002097935785732,0.18268023596445848,0.023031105220035823,0,0.9909672564482674,0.9849454274137791,0.09255213785691632,0.00961318506344286
NA,Male,NA,2105,0,0.9114322487307354,0.8953290212272327,0.18466176170905868,0.024717090469160676,0,0.9882827656264944,0.9804712760441574,0.1021115945850278,0.010066713919698878
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,First,1429,0,0.9106717929280642,0.8944303007331668,0.17893206183250868,0.027454561035556095,0,0.9884187272644154,0.9806978787740257,0.10074284462298709,0.011869144094421677
NA,NA,Later,1347,0,0.899917500733098,0.8817206826845703,0.18512144647814105,0.03046717383315333,2.220446049250313e-16,0.9915441494335769,0.9859069157226282,0.08397626519382982,0.009477160426534039
