ID	S_CONJ	S_HELPV	S_PRON	S_QUANT	S_QWORDS	S_TIME	S_WF_N	S_WF_V	S_WE_N	S_WE_V	S_COMPLX	D_AGE_C	D_MALE	D_AGE_C2
131385	0.333333333333333	0.619047619047619	0.44	0.588235294117647	0.857142857142857	0.583333333333333	0.8	0.85	0.0714285714285714	0.129032258064516	0.972972972972973	4	-1	16
131961	0	0.142857142857143	0.4	0.176470588235294	0.571428571428571	0.166666666666667	0.4	0.2	0	0	0.351351351351351	1	1	1
133712	0	0	0	0	0	0	0.2	0	0	0	0	-7	-1	49
133713	0	0	0	0	0	0	0	0	0	0	0	-7	-1	49
133714	0	0	0	0	0	0	0	0	0	0	0	-7	1	49
133715	0	0	0	0	0	0	0	0	0	0	0	-7	-1	49
133716	0	0	0	0	0	0	0	0	0	0	0	-7	1	49
133717	0	0	0.04	0	0	0	0	0	0	0	0	-7	-1	49
133718	0	0.0476190476190476	0.24	0.0588235294117647	0.142857142857143	0	0	0	0	0	0.027027027027027	-7	-1	49
133719	0	0	0.16	0.0588235294117647	0	0	0.4	0	0	0	0	-7	1	49
133720	0	0	0.04	0.0588235294117647	0	0	0	0	0	0	0	-7	1	49
133721	0	0	0.12	0	0.285714285714286	0	0	0	0	0	0	-7	1	49
133722	0	0.0952380952380952	0.2	0	0	0	0	0	0	0	0	-7	1	49
133723	0	0.0476190476190476	0.08	0.0588235294117647	0	0	0.2	0	0	0	0	-7	-1	49
133724	0	0	0	0	0	0	0	0	0	0	0	-7	-1	49
133725	0	0	0	0	0	0	0.2	0	0	0	0	-7	1	49
133726	0	0	0.16	0	0	0.0833333333333333	0.4	0	0	0	0.108108108108108	-7	-1	49
133727	0	0	0.16	0.176470588235294	0	0	0.6	0	0	0	0	-7	-1	49
133728	0	0	0	0	0	0	0	0	0	0	0	-7	-1	49
133729	0	0	0	0	0	0	0	0	0	0	0	-7	-1	49
133730	0	0	0	0	0	0	0	0	0	0	0	-7	1	49
133731	0	0	0.08	0.117647058823529	0	0.0833333333333333	0	0	0	0	0.027027027027027	-7	1	49
133732	0	0	0.04	0	0	0	0	0	0	0	0	-7	-1	49
133733	0	0	0	0	0	0	0	0	0	0	0	-7	1	49
133734	0	0	0.04	0	0	0	0	0	0	0	0	-7	1	49
133735	0	0	0	0	0	0	0	0	0	0	0	-7	1	49
133736	0	0	0	0	0	0	0	0	0	0	0	-7	-1	49
133737	0	0	0.08	0.0588235294117647	0	0	0	0	0	0	0	-7	-1	49
133738	0	0.142857142857143	0.16	0.117647058823529	0.142857142857143	0	0.4	0	0	0	0.0810810810810811	-7	-1	49
133739	0	0	0	0	0	0	0	0	0	0	0	-7	-1	49
133740	0	0	0	0	0	0	0	0	0	0	0	-7	-1	49
133741	0	0	0	0	0	0	0	0	0	0	0	-7	1	49
133742	0	0	0	0	0	0	0	0	0	0	0	-7	1	49
133743	0	0	0	0	0	0	0	0	0	0	0	-7	-1	49
133744	0	0	0.04	0	0	0	0	0	0	0	0	-7	-1	49
