type,category,definition
first_signs,NA,respname
first_signs,NA,respno
first_signs,NA,reactmd
phrases,NA,arehngry
phrases,NA,aretired
phrases,NA,becarefl
phrases,NA,bequiet
phrases,NA,claphand
phrases,NA,cgdiaper
phrases,NA,comehere
phrases,NA,mdhome
phrases,NA,wantmore
phrases,NA,dontdo
phrases,NA,dontouch
phrases,NA,getup
phrases,NA,givemom
phrases,NA,givehug
phrases,NA,givekiss
phrases,NA,goget
phrases,NA,goodgb
phrases,NA,holdstil
phrases,NA,gobyebye
phrases,NA,lookhere
phrases,NA,openmth
phrases,NA,sitdown
phrases,NA,spitout
phrases,NA,stopit
phrases,NA,gonight
phrases,NA,throwbll
phrases,NA,litpiggy
phrases,NA,wantride
starting_to_talk,NA,imitate
starting_to_talk,NA,label
word,sounds,baa baa
word,sounds,choo choo
word,sounds,cockadoodledoo
word,sounds,grrr
word,sounds,meow
word,sounds,moo
word,sounds,ouch
word,sounds,quack quack
word,sounds,uh oh
word,sounds,vroom
word,sounds,woof woof
word,sounds,yum yum
word,animals,animal
word,animals,bear
word,animals,bee
word,animals,bird
word,animals,bug
word,animals,bunny
word,animals,butterfly
word,animals,cat
word,animals,chicken (animal)
word,animals,cow
word,animals,deer
word,animals,dog
word,animals,donkey
word,animals,duck
word,animals,elephant
word,animals,fish (animal)
word,animals,frog
word,animals,giraffe
word,animals,goose
word,animals,horse
word,animals,kitty
word,animals,lamb
word,animals,lion
word,animals,monkey
word,animals,mouse
word,animals,owl
word,animals,penguin
word,animals,pig
word,animals,pony
word,animals,puppy
word,animals,sheep
word,animals,squirrel
word,animals,teddybear
word,animals,tiger
word,animals,turkey
word,animals,turtle
word,vehicles,airplane
word,vehicles,bicycle
word,vehicles,bus
word,vehicles,car
word,vehicles,firetruck
word,vehicles,motorcycle
word,vehicles,stroller
word,vehicles,train
word,vehicles,truck
word,toys,ball
word,toys,balloon
word,toys,block
word,toys,book
word,toys,bubbles
word,toys,doll
word,toys,pen
word,toys,toy (object)
word,food_drink,apple
word,food_drink,banana
word,food_drink,bread
word,food_drink,butter
word,food_drink,cake
word,food_drink,candy
word,food_drink,carrots
word,food_drink,cereal
word,food_drink,cheerios
word,food_drink,cheese
word,food_drink,chicken (food)
word,food_drink,coffee
word,food_drink,cookie
word,food_drink,cracker
word,food_drink,drink (beverage)
word,food_drink,egg
word,food_drink,fish (food)
word,food_drink,food
word,food_drink,ice cream
word,food_drink,juice
word,food_drink,meat
word,food_drink,milk
word,food_drink,noodles
word,food_drink,orange (food)
word,food_drink,peas
word,food_drink,pizza
word,food_drink,raisin
word,food_drink,spaghetti
word,food_drink,toast
word,food_drink,water (beverage)
word,clothing,beads
word,clothing,bib
word,clothing,boots
word,clothing,button
word,clothing,coat
word,clothing,diaper
word,clothing,dress (object)
word,clothing,hat
word,clothing,jacket
word,clothing,jeans
word,clothing,necklace
word,clothing,pajamas
word,clothing,pants
word,clothing,shirt
word,clothing,shoe
word,clothing,shorts
word,clothing,sock
word,clothing,sweater
word,clothing,zipper
word,body_parts,arm
word,body_parts,belly button
word,body_parts,cheek
word,body_parts,ear
word,body_parts,eye
word,body_parts,face
word,body_parts,foot
word,body_parts,finger
word,body_parts,hair
word,body_parts,hand
word,body_parts,head
word,body_parts,knee
word,body_parts,leg
word,body_parts,mouth
word,body_parts,nose
word,body_parts,owie/boo boo
