"Identifiers","demographics,CandID","demographics_eligibility,parent1_education","demographics_eligibility,parent1_relationship","demographics_eligibility,parent2_education","demographics_eligibility,parent2_relationship"
"JE000053_03,bcpBSLERP4x12m","716498",".",".",".","."
"JE000053_03,bcpBSLERP4x15m","716498",".",".",".","."
"JE000053_03,bcpBSLERP4x18m","716498",".",".",".","."
"JE000053_03,bcpBSLERP4x24m","716498",".",".",".","."
"JE000053_03,bcpBSLERP4x30m","716498",".",".",".","."
"JE000053_03,bcpBSLERP4x6m","716498","college","biological_mother","grad","non_specified"
"JE000053_03,bcpBSLERP4x9m","716498",".",".",".","."
"JE000084_02,bcpBiomomVisit1","466585",".",".",".","."
"JE000084_04,bcpBSLERP3x11m","387247",".",".",".","."
"JE000084_04,bcpBSLERP3x14m","387247",".",".",".","."
"JE000084_04,bcpBSLERP3x18m","387247",".",".",".","."
"JE000084_04,bcpBSLERP3x24m","387247",".",".",".","."
"JE000084_04,bcpBSLERP3x30m","387247",".",".",".","."
"JE000084_04,bcpBSLERP3x5m","387247","grad","biological_mother","college","biological_father"
"JE000084_04,bcpBSLERP3x8m","387247",".",".",".","."
"JE000096_01,bcpParent2Visit1","783028",".",".",".","."
"JE000096_02,bcpBiomomVisit1","687996",".",".",".","."
"JE000096_06,bcpBSLERP2x10m","223008",".",".",".","."
"JE000096_06,bcpBSLERP2x13m","223008",".",".",".","."
"JE000096_06,bcpBSLERP2x18m","223008",".",".",".","."
"JE000096_06,bcpBSLERP2x24m","223008",".",".",".","."
"JE000096_06,bcpBSLERP2x30m","223008",".",".",".","."
"JE000096_06,bcpBSLERP2x4m","223008","grad","biological_mother","high","biological_father"
"JE000096_06,bcpBSLERP2x7m","223008",".",".",".","."
"JE000100_02,bcpBiomomVisit1","895693",".",".",".","."
"JE000100_05,bcpBSLERP4x12m","951984",".",".",".","."
"JE000100_05,bcpBSLERP4x15m","951984",".",".",".","."
"JE000100_05,bcpBSLERP4x18m","951984",".",".",".","."
"JE000100_05,bcpBSLERP4x24m","951984",".",".",".","."
"JE000100_05,bcpBSLERP4x30m","951984",".",".",".","."
"JE000100_05,bcpBSLERP4x6m","951984","college","biological_mother","college","non_specified"
"JE000100_05,bcpBSLERP4x9m","951984",".",".",".","."
"JE000102_01,bcpParent2Visit1","743927",".",".",".","."
