demo.CandID,demo.age_bin,u1,u1.length,u2,u3
11228,18,Mommy more me,,Daddys hat,Me outside 
17541,22,"Let go, Mommy!",,My back pack.,I want cheese. 
51407,18,Mama more ,,NA,NA
52977,20,I readed the book.,,"Shoes on, go outside.",When's Uncle [NAME] coming? 
52977,26,I want to go to the beach and see the big sharks and dinosaurs. ,,Let's go cook on the porch. ,I want go sleep in the big bed. 
107842,25,I dont know,,Where did it go,where is it 
107842,31,Did puppy go outside to go potty?,,Did mommy take a shower?,Is daddy at work now mommy? 
116056,30,I want to go to....,,Can we take the puppies to the puppy park?,Where are we going after nap? 
116845,30,Mommy I want more milk. ,,Mommy I miss [NAME1]. ,I want to see [NAME2].
124529,25,Here you go mommy,,I don't want it. ,I waked up. 
124529,31,Mommy I waked up.,,"No, I go first.",Where baby [NAME] go? 
125632,24,I got it mama ,,I'll go get it ,NA
138813,30,"If you do that, I will be angry at you.",,That is [NAME]'s car. I gave it to him.,I want to read the color book first.
176427,30,Will you lay with me for a little bit?,,NA,NA
176851,32,Mama go work.  ,,Stay my house.,I see choo-choo. 
176851,38,I need a new sucker.,,Mom come upstairs and bring my race cars., I don't want chicken and potatoes.
182746,22,More milk please mama ,,NA,NA
185373,32,"Please mommy, the sun is too bright.",,"Daddy, I want some milky, please... not the water, just milk.","No mommy, that is not a big rig - that is a white semi truck! "
222881,30,"Look mommy, I eat another bite.",,What's in the bucket?,Where did my [NAME] go? 
223008,30,"Mommy, we go to library with Nana.",, [NAME1] hit me on my arm. ,"Where is [NAME1], I want to go to [NAME2]'s house too. "
223244,20,Bad boy,,More milk,NA
232633,36,I pulled cords off because they were broken and I fixed them.,,"I'm going to scoot and then I'm going to roll it. See, I rolled it. I'll show you how it rolls.",I want leftovers they are very tasty - chicken nuggets. 
234130,25,"I not go see friends, mommy. ",,[NAME] runned away. ,I go night-night mommy. 
234130,31,You have to go to work mommy?,,I want to go to the park and swing and slide.,NA
261266,29,i wanna go home.,,mommy are you sad/happy?,that's a big scary monster.
262208,30,I want more yogurt from the big container please.,,Is my [NAME] going to come to see me today and put me night-night?,mommy can you sit down and play with me on the floor? 
266394,21,"mama, no",,"mama, da ayuda","mama, wa (aqua/water) "
266394,27,papa is not home,,libro de mama,mama more fish 
266437,36,Why did you turn the car around?,,When are we going to get home?,"She talks non stop, how can I even remember three sentences? "
273929,26,Emma do it,,Mommy do it,I want yogurt
282791,31,No mommy I don't want that.,,He is eating dinosaur eggs.,I want to go to my grandma's house. 
284149,30,"No we need to make the door, you need to help me make the door.",,"Now we're all done, all done, ok now you have to keep those on, can you keep those on so I can take them off?","I have one to pull and i have one to carry, those are heavy for you, they're heavy for you."
295081,30,And then after we pick up [NAME] we're gonna go to he store and get some snacks and read some books. ,, And then we went to the zoo and we saw penguins and monkeys and went to the bird show.,After I eat it all up in my tummy-tum-tum I'm gonna get a treat and then it will be time to take a bath.
320544,30,"Last week, we went to a going away party for Daddy at the office and now he is at a new office.",,"I dont care for clementine oranges, I want something else!!",Baby [NAME] was crying so I sang him a song to cheer him up and now hes not sad anymore!
334324,30,Me all done sit my rock.,,No me warm.,My dump truck new. 
340476,22,"Love you, up please, oh buddy",,NA,NA
340476,28,Go to Nana and Gramps's house.,,"Dad, I go pee pee in the potty. ",I want Mom to do it. 
353374,31,Thats mommas coffee.,,Mommys cold too.,I wanna go to bath/bed/dance class. 
354404,22,"Que pasa [NAME], I love you, big truck",,NA,NA
354404,25,Where is mama?,,Lets go downstairs,What is that? 
