data_id,ideal_age,wg_age,ws_age
716498,12,12.7,NA
716498,18,18.1,NA
263557,12,12.3,NA
263557,18,18.1,NA
263557,24,24.6,NA
387247,11,11.6,NA
387247,14,15.1,NA
387247,18,18,NA
387247,24,24.3,NA
864547,18,18.7,NA
333629,13,13,NA
333629,18,19.4,NA
333629,24,24,NA
333629,30,NA,33.3
223008,13,15.5,NA
223008,18,16.7,NA
223008,24,24.5,NA
223008,30,NA,35.1
951984,12,12.8,NA
951984,18,18.9,NA
951984,24,24,NA
855027,11,11.7,NA
855027,18,17.8,NA
855027,24,24.8,NA
398874,11,12,NA
398874,14,14.7,NA
398874,18,17.9,NA
398874,24,24.2,NA
662338,12,12.6,NA
662338,18,18,NA
662338,24,24.7,NA
366866,13,13.1,NA
366866,18,15.9,NA
254419,11,11.1,NA
254419,14,14.1,NA
254419,18,18.5,NA
926162,11,11.6,NA
926162,14,14.9,NA
926162,18,17.8,NA
926162,24,24.6,NA
987008,11,10.9,NA
987008,14,15,NA
987008,18,18,NA
987008,24,24,NA
346543,13,12.9,NA
346543,18,18.4,NA
346543,24,24.2,NA
346543,30,NA,35.9
455675,12,13,NA
455675,18,17.9,NA
455675,24,24.5,NA
534927,12,13.5,NA
534927,18,18.3,NA
272097,11,11.4,NA
272097,14,14.5,NA
272097,18,18.3,NA
272097,24,24.6,NA
272097,30,NA,33.3
890518,14,15.1,NA
890518,18,17.5,NA
890518,24,24.1,NA
888211,18,18.9,NA
637042,13,13.6,NA
637042,18,17.5,NA
637042,24,24.3,NA
637042,30,NA,34.6
243511,13,13.1,NA
243511,18,18.1,NA
243511,24,26,NA
461188,11,11.3,NA
461188,14,14.3,NA
461188,18,17.9,NA
461188,24,27.5,NA
190454,12,12.5,NA
190454,18,18.2,NA
190454,24,24.2,NA
983485,11,12.9,NA
983485,14,16.6,NA
983485,18,18.6,NA
983485,24,25.7,NA
810675,18,18.4,NA
810675,24,27.2,NA
732981,11,14.1,NA
732981,18,18.3,NA
732981,24,24.6,NA
334324,12,12.6,NA
334324,18,18.4,NA
334324,24,25.2,24.5
334324,30,NA,32.4
877573,12,12.1,NA
877573,18,18.7,NA
877573,24,25,NA
877573,30,NA,33.8
425428,12,13.7,NA
425428,18,18.4,NA
425428,24,24.2,NA
425428,30,NA,33.6
760812,13,13.1,NA
760812,18,19.6,NA
760812,24,25.5,NA
222881,11,10,NA
222881,18,18.3,NA
222881,30,NA,32.5
262208,18,18.6,NA
262208,30,NA,32.7
794626,13,13.4,NA
794626,18,18.1,NA
794626,24,24.6,NA
781636,18,18.1,NA
781636,24,25,NA
229768,14,14.6,NA
229768,18,18.6,NA
229768,24,24.9,NA
138813,13,13.8,NA
138813,18,18.7,NA
138813,24,24.7,NA
138813,30,NA,34.3
850013,14,15.4,NA
850013,18,18.7,NA
850013,24,24.7,NA
738379,11,11.5,NA
738379,14,14.6,NA
738379,18,18,NA
738379,24,23.5,NA
738379,30,NA,31.5
995663,11,12.1,NA
995663,14,14.5,NA
995663,18,18.1,NA
505926,11,11.3,NA
505926,14,14.1,NA
505926,18,18.6,NA
505926,24,24.5,NA
277762,18,18.1,NA
277762,24,24,NA
505499,12,12.9,NA
505499,18,19.8,NA
505499,24,25,NA
805737,14,15,NA
805737,18,18.1,NA
805737,30,NA,33
131015,14,15.2,NA
131015,18,18.1,NA
131015,24,24.7,NA
131015,30,NA,32.6
116845,18,18,NA
116845,24,24.1,NA
116845,30,NA,31.6
927564,12,12.3,NA
927564,18,18.1,NA
927564,24,24.2,NA
927564,30,NA,31.4
423548,12,12.2,NA
423548,18,18,NA
423548,24,25.3,NA
423548,30,NA,33.1
447077,11,11.6,NA
447077,14,15.3,NA
447077,18,18.4,NA
518969,11,11.7,NA
518969,14,15.2,NA
518969,18,17.6,NA
518969,24,24.7,NA
320544,13,13.9,NA
320544,18,18,NA
320544,24,24.1,NA
320544,30,NA,32
514306,13,13.5,NA
514306,18,17.4,NA
932286,13,13.8,NA
932286,18,18.4,NA
932286,24,24.2,NA
932286,30,NA,31.2
125632,13,13.9,NA
125632,18,18.2,NA
125632,24,NA,25.2
786266,13,14.4,NA
786266,18,18.5,NA
786266,24,24.4,NA
786266,30,NA,30.8
794032,12,12,NA
794032,18,18,NA
794032,24,24.5,NA
960370,13,12.9,NA
960370,18,18.1,NA
960370,24,24.2,NA
859613,13,13.1,NA
859613,18,18.7,NA
755330,13,13.3,NA
755330,18,18,NA
755330,24,24.2,NA
755330,30,NA,31.2
801091,12,12.9,NA
801091,18,17.4,NA
801091,24,24.3,NA
801091,30,NA,30.4
231205,12,12,NA
231205,18,18,NA
231205,24,24.8,NA
597306,12,11.3,NA
597306,18,18.4,NA
597306,24,24.1,NA
597306,30,NA,31
176427,11,11.3,NA
176427,14,14.4,NA
176427,18,17.9,NA
176427,24,24.8,NA
176427,30,NA,29.4
557806,12,12.3,NA
557806,18,18.5,NA
557806,30,NA,32
277066,13,14,NA
277066,24,24.8,NA
960432,13,13.4,NA
960432,18,18.1,NA
960432,24,24.2,NA
960432,30,NA,37.3
805063,13,13.8,NA
805063,18,18.1,NA
805063,24,24.8,NA
627929,12,12,NA
627929,18,18.4,NA
627929,24,24.2,NA
627929,30,NA,30
621289,12,12.6,NA
621289,18,18.9,NA
470431,12,12.7,NA
470431,18,18.4,NA
470431,24,25.1,NA
812574,12,12.1,NA
812574,18,20,NA
812574,24,24.3,NA
812574,30,NA,34.7
116056,12,12.9,NA
116056,18,18.2,NA
116056,24,24.5,NA
116056,30,NA,36.5
683099,12,12.3,NA
116937,12,12.8,NA
883901,12,12.7,NA
883901,18,18.1,NA
883901,24,25,NA
883901,30,NA,36.8
838827,13,13.5,NA
838827,18,18,NA
838827,24,24.6,NA
406768,12,12.1,NA
406768,18,18.1,NA
406768,24,24.1,NA
406768,30,NA,31.9
940808,12,12.1,NA
940808,18,18.2,NA
940808,24,25.1,NA
940808,30,NA,32.7
939785,12,12.4,NA
939785,18,18.3,NA
939785,24,24.8,NA
752770,15,15,NA
752770,18,18.2,NA
826398,12,12.2,NA
105040,12,12.2,NA
105040,18,18.1,NA
105040,30,NA,38.3
544404,12,12.5,NA
544404,18,18.4,NA
544404,24,24.6,NA
879509,18,18.2,NA
879509,24,24.9,NA
879509,30,NA,35.9
978698,11,11.4,NA
978698,14,14.2,NA
978698,18,18.2,NA
978698,24,24.5,NA
978698,30,NA,33.6
295081,18,18.5,NA
295081,24,24.5,NA
295081,30,NA,35.5
219810,12,12.3,NA
469900,11,12,NA
469900,14,14.8,NA
469900,18,18.3,NA
469900,24,24.7,NA
645257,18,18.2,NA
645257,24,24.4,NA
468570,18,18.4,NA
401592,12,12.2,NA
401592,18,18.1,NA
401592,24,24.7,NA
198202,11,11.4,NA
198202,14,14.4,NA
198202,18,18,NA
198202,24,24.1,NA
284149,12,12.4,NA
284149,18,18.2,NA
284149,24,24.4,NA
284149,30,NA,35.4
147207,12,14.4,NA
302746,12,13.1,NA
115072,12,14.7,NA
709477,12,12.7,NA
633038,12,12.1,NA
716733,12,12.2,NA
993015,14,14.8,NA
981854,13,13.5,NA
981854,24,24.2,NA
552990,14,14.9,NA
552990,24,24.7,NA
198549,13,14,NA
198549,24,25.1,NA
726893,14,14.9,NA
282791,19,19.9,NA
282791,31,NA,30.3
469090,12,13.1,NA
469090,18,18.4,NA
469090,21,22.1,NA
469090,24,25.3,NA
675362,18,18.9,NA
675362,24,24.4,NA
675362,36,NA,37.3
266437,18,18.9,NA
266437,24,25.5,NA
266437,36,NA,37.2
661045,18,17.9,NA
661045,24,24.6,NA
601017,19,19,NA
601017,25,26.2,26
601017,31,NA,32.9
981664,14,14.3,NA
684448,14,14.8,NA
234130,19,19.9,NA
234130,25,NA,26
234130,31,NA,31.6
676274,19,19.5,NA
676274,25,NA,26.3
676274,31,NA,31.1
676274,37,NA,37.7
176851,20,20.7,NA
176851,26,26.7,NA
176851,32,NA,32.1
176851,38,NA,38.3
590275,15,15.2,NA
933910,12,12.5,NA
933910,15,15.6,NA
933910,18,18.5,NA
519250,16,16.5,NA
519250,22,22.8,NA
519250,28,NA,28.1
519250,34,NA,35.9
826360,17,17.4,NA
826360,23,23.9,NA
826360,29,NA,29.7
826360,35,NA,35
908191,16,16.1,NA
908191,22,22.7,NA
908191,28,NA,28.7
908191,34,NA,34.4
583494,20,20.5,NA
583494,26,27,NA
583494,32,NA,33
107842,19,19.1,NA
107842,25,NA,25.8
107842,31,NA,31.3
904006,18,19,NA
199865,12,12.2,NA
199865,15,15.7,NA
199865,18,18.7,NA
199865,24,25.8,NA
522586,14,15,NA
522586,17,17.8,NA
477045,13,13.4,NA
477045,16,16.6,NA
477045,19,19.9,NA
477045,22,22.9,NA
204659,13,13.5,NA
204659,16,16.3,NA
204659,19,20.2,NA
204659,22,23.4,NA
439999,14,15,NA
439999,17,17.3,NA
439999,20,20.6,NA
439999,23,24.7,NA
637299,14,14.8,NA
637299,17,17.8,NA
629130,14,14.8,NA
629130,17,17.3,NA
629130,20,20.2,NA
629130,23,23.3,NA
627391,14,14.8,NA
627391,24,22.1,NA
372377,14,14.4,NA
372377,24,24.8,NA
938316,14,14.5,NA
938316,24,25.3,NA
439083,13,13.3,NA
830201,19,19.7,NA
830201,25,25.7,NA
830201,31,NA,31.6
830201,37,NA,38
798610,19,19.5,NA
722612,18,18.4,NA
722612,24,24.6,NA
722612,30,NA,30.1
722612,36,NA,36.6
353374,19,19.3,NA
353374,31,NA,31.1
469822,25,26.4,NA
469822,31,NA,31.4
469822,37,NA,37.7
617942,25,NA,26.2
617942,31,NA,31.1
309615,12,12.7,NA
309615,15,17.2,NA
309615,18,19.4,NA
309615,21,22.6,NA
317415,20,20.4,NA
124529,19,19.2,NA
124529,25,NA,25.4
124529,31,NA,31.2
706655,12,12.9,NA
706655,15,15.6,NA
706655,18,18.4,NA
706655,21,21.6,NA
706655,24,24.9,NA
863856,16,16.7,NA
863856,22,22.1,NA
863856,28,NA,28.9
863856,34,NA,35.8
380510,20,20.3,NA
380510,26,27.1,NA
380510,32,NA,33
710922,13,13.4,NA
710922,24,26.7,NA
185373,20,20.5,NA
185373,26,NA,26.7
185373,32,NA,32.3
947206,12,13,NA
865762,20,20.2,NA
865762,26,26.9,NA
865762,32,NA,31.8
706050,20,20.8,NA
706050,26,26.8,NA
706050,32,NA,32.2
887679,24,24.3,NA
866461,18,18.3,NA
866461,24,26.8,NA
682023,13,13.8,NA
682023,24,24.1,NA
439037,15,15.6,NA
439037,21,21.9,NA
261266,17,17.2,NA
261266,23,24,NA
261266,29,NA,29
261266,35,NA,36.7
985303,15,15.6,NA
985303,21,22.1,NA
985303,27,NA,29.1
985303,33,NA,35.8
240615,16,16.2,NA
240615,22,22.1,NA
240615,28,NA,28.4
240615,34,NA,35.5
907184,16,16,NA
907184,22,23.4,NA
907184,28,NA,28.3
907184,34,NA,35.5
458050,13,13.5,NA
458050,16,16.8,NA
458050,19,20.1,NA
458050,22,22.8,NA
458050,25,NA,25.9
943541,13,13.9,NA
410729,25,NA,25.5
616356,17,17.4,NA
764612,16,16.1,NA
764612,28,NA,28.4
764612,34,NA,33.8
295330,20,21.3,NA
536876,16,16.5,NA
536876,22,23.8,NA
536876,34,NA,34.6
747645,16,16.6,NA
657158,13,16.7,NA
945323,18,18.6,NA
945323,24,24.6,NA
569511,15,15.4,NA
569511,21,21.6,NA
569511,27,NA,31.5
569511,33,NA,34.5
318409,18,19,NA
318409,30,NA,30.1
780046,20,20.5,NA
780046,26,26.1,NA
513010,16,16,NA
513010,22,22.5,NA
513010,28,NA,31.9
513010,34,NA,37.8
736609,17,17.3,NA
736609,23,23.8,NA
736609,35,NA,36.9
427732,17,17.1,NA
427732,23,23.2,NA
427732,29,NA,32
427732,35,NA,36.5
251549,16,16.6,NA
251549,22,23.3,NA
251549,28,NA,31
251549,34,NA,34.7
640680,17,17.2,NA
640680,23,24.7,NA
640680,29,NA,31.3
640680,35,NA,35.8
209364,18,18.9,NA
100619,17,17.4,NA
100619,23,23.6,NA
100619,29,NA,28.7
680534,15,15.1,NA
680534,21,21.3,NA
680534,27,NA,30.9
714783,15,15.7,NA
714783,21,21.4,NA
714783,27,NA,31.4
714783,33,NA,34.4
759162,17,17.8,NA
759162,23,23.2,NA
759162,29,NA,30.9
759162,35,NA,35.5
351080,15,15.9,NA
999947,15,15.7,NA
999947,21,21.7,NA
999947,27,NA,29.4
999947,33,NA,33.7
402408,13,13.6,NA
826321,18,18.3,NA
456442,18,18.4,NA
456442,30,NA,30.3
648669,12,12.6,NA
648669,15,15.6,NA
648669,18,18.8,NA
648669,21,21.5,NA
387450,17,17.1,NA
857459,12,12.7,NA
857459,18,18.7,NA
857459,21,21.2,NA
236452,12,12.5,NA
236452,15,15.4,NA
236452,18,18.4,NA
236452,21,21.2,NA
710741,13,13.2,NA
710741,16,16.6,NA
710741,19,19.3,NA
710741,22,23,NA
102606,19,18.7,NA
907729,14,14.5,NA
907729,17,17.6,NA
907729,20,20.3,NA
907729,23,23.8,NA
380056,13,13.1,NA
611881,14,15.4,NA
611881,17,17.9,NA
611881,20,22.5,NA
611881,23,24.2,NA
611881,26,NA,26.9
470437,13,14.7,NA
477275,13,13.5,NA
477275,19,21.8,NA
839327,12,12,NA
839327,15,16.1,NA
839327,18,18.7,NA
839327,21,21.2,NA
800807,13,14,NA
800807,16,18.2,NA
800807,19,20.8,NA
800807,22,22.4,NA
800807,25,NA,26
799959,13,13.6,NA
799959,22,22.2,NA
799959,25,NA,25.5
779253,13,14.5,NA
779253,16,17.2,NA
779253,19,20.6,NA
779253,22,23.5,NA
551055,23,22.4,NA
551055,26,NA,25.9
936900,13,13.7,NA
936900,16,16.5,NA
936900,19,19.5,NA
936900,22,22.8,NA
994816,14,14.4,NA
994816,17,17.4,NA
994816,20,20.4,NA
232633,36,NA,36.5
775707,16,17.1,NA
775707,19,19.2,NA
775707,22,22.2,NA
439584,36,NA,36.1
315519,14,16.3,NA
315519,17,18.6,NA
315519,20,21.6,NA
537180,13,15.1,NA
537180,16,17.5,NA
537180,19,19.9,NA
817184,17,17,NA
817184,23,23.8,NA
503722,17,17.3,NA
503722,23,23.6,NA
700095,15,15.7,NA
393942,15,16,NA
393942,21,21.6,NA
111521,17,17.8,NA
111521,29,NA,29.9
406663,24,NA,25.5
648807,21,NA,21.1
648807,27,NA,27.8
456907,12,12.4,NA
456907,15,15.4,NA
294064,16,16.3,NA
132476,12,12.7,NA
132476,15,15.4,NA
107008,12,13.3,NA
107008,15,16.6,NA
157075,17,17,NA
157075,23,NA,26.5
17541,13,14.8,NA
17541,19,NA,19.7
17541,22,NA,22.8
865900,15,14.8,NA
758603,13,13.3,NA
758603,16,16.3,NA
758603,19,NA,19.9
758603,22,NA,22.4
758603,25,NA,25.7
683402,13,13.5,NA
683402,16,16.3,NA
494244,26,NA,26.1
675674,14,14.2,NA
675674,17,17.6,NA
385434,14,14.2,NA
385434,20,NA,21.1
385434,26,NA,26.2
530066,13,13.9,NA
530066,16,16.5,NA
530066,19,NA,19.8
530066,22,NA,23.3
189896,14,14.5,NA
189896,17,18.3,NA
488291,15,15,NA
488291,21,NA,24.4
683764,23,NA,23.5
266394,15,15,NA
266394,21,NA,21.5
266394,27,NA,27.9
137012,13,12.9,NA
137012,16,16.9,NA
417855,15,15.6,NA
607764,21,NA,22.2
607764,27,NA,27.8
525955,12,13,NA
525955,15,16.9,NA
525955,18,NA,18.3
912823,26,NA,26.7
52977,14,14.3,NA
52977,17,17.5,NA
52977,20,NA,21.9
52977,26,NA,25.3
2081,12,14.3,NA
868724,14,14.1,NA
868724,20,NA,21.5
868724,26,NA,26.4
774387,22,NA,22.2
412584,13,13.5,NA
354404,13,13.3,NA
354404,16,18,NA
