demo.CandID,de.Administration,de.Date_taken,de.Examiner,de.language1_parent1,de.language1_parent1_pct,de.language1_parent2,de.language1_parent2_pct,de.language2_parent1,de.language2_parent1_pct,de.language2_parent2,de.language3_parent1,de.language3_parent1_pct,de.language3_parent2
716498,All,2014-10-02,Elayne Teska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
387247,All,2014-12-08,Elayne Teska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
223008,All,2015-01-12,Elayne Teska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
951984,All,2015-02-05,Angela Fenoglio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
662338,All,2015-01-22,Elayne Teska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
987008,All,2015-02-12,Elayne Teska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
455675,All,2015-03-12,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
534927,All,2015-02-27,Elayne Teska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
272097,All,2015-03-03,Elayne Teska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
890518,All,2015-03-10,Elayne Teska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
888211,All,2015-03-17,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
243511,All,2015-03-24,Elayne Teska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
986114,All,2015-04-01,Elayne Teska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
810675,All,2015-04-01,Angela Fenoglio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
334324,All,2015-04-16,Elayne Teska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
425428,All,2015-05-14,Elayne Teska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
758451,All,2015-05-15,Elayne Teska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
760812,All,2015-05-22,Elayne Teska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
222881,All,2015-05-27,Elayne Teska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
262208,All,2015-06-02,Elayne Teska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
794626,All,2015-06-01,Elayne Teska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
229768,All,2015-06-25,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138813,All,2015-06-26,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
850013,All,2015-06-26,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
738379,All,2015-06-30,Elayne Teska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
995663,All,2015-07-01,Elayne Teska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
505926,All,2015-07-08,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
277762,All,2015-08-18,Elayne Teska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
505499,All,2015-08-31,Elayne Teska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116845,All,2015-09-18,Elayne Teska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
927564,All,2015-09-21,Elayne Teska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
447077,All,2015-09-22,Elayne Teska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
320544,All,2015-09-23,Elayne Teska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
