model,ID,age,ETA_L,ETA_S
3d,129242,27,0.763,0.691
3d,129243,21,0.616,0.252
3d,129244,26,-0.767,-0.153
3d,129245,27,-0.515,-0.37
3d,129246,19,-0.611,-0.26
3d,129247,30,0.658,0.86
3d,129248,25,0.556,0.293
3d,129249,24,1.461,1.002
3d,129250,28,0.821,1.736
3d,129251,18,-1.213,-0.297
3d,129252,29,0.852,0.606
3d,129253,26,-0.683,-0.383
3d,129254,18,-1.049,-0.293
3d,129255,24,-0.92,-0.523
3d,129256,28,-0.744,-0.837
3d,129257,24,0.252,-0.214
3d,129258,26,-0.877,-0.729
3d,129259,16,-1.072,-0.147
3d,129260,17,-0.264,0.064
3d,129261,30,1.357,1.342
3d,129262,19,-0.462,-0.114
3d,129263,28,1.45,1.606
3d,129264,26,0.225,0.442
3d,129265,29,0.202,0.845
3d,129266,22,-0.339,-0.066
3d,129267,23,-0.291,-0.015
3d,129268,29,0.788,2.078
3d,129269,24,1.14,0.243
3d,129270,25,1.707,2.805
3d,129271,17,-0.829,-0.111
3d,129272,24,-0.203,0.299
3d,129273,25,-0.315,-0.496
3d,129274,24,-0.681,-0.344
3d,129275,25,-1.372,-0.692
3d,129276,16,-0.828,-0.129
3d,129277,19,-1.197,-0.369
3d,129278,18,-1.23,-0.294
3d,129279,17,-1.151,-0.22
3d,129280,18,-0.985,-0.293
3d,129281,19,-1.158,-0.369
3d,129282,23,0.658,-0.265
3d,129283,16,-0.987,-0.147
3d,129284,23,-0.939,-0.619
3d,129285,20,-0.826,-0.2
3d,129286,28,-0.696,-0.164
3d,129287,22,0.145,0.484
3d,129288,30,0.071,-1.096
3d,129289,25,-0.946,-0.566
3d,129290,23,-0.337,0.364
3d,129291,21,-0.156,-0.335
3d,129292,23,-1.172,-0.261
3d,129293,24,-0.145,-0.258
3d,129294,23,-1.207,-0.607
3d,129295,19,-0.914,-0.249
3d,129296,27,-0.747,-0.849
3d,129297,28,-0.834,-0.454
3d,129298,28,-0.629,-0.928
3d,129299,27,-0.148,-0.342
3d,129300,17,-0.968,-0.201
3d,129301,27,-1.543,-0.535
3d,129302,28,-0.248,-0.915
3d,129303,18,-1.041,-0.213
3d,129304,30,0.655,0.913
3d,129305,29,1.052,1.469
3d,129306,29,-0.783,-0.834
3d,129307,23,-1.42,-0.659
3d,129308,18,-1.206,-0.293
3d,129309,24,-0.128,-0.708
3d,129310,29,-0.218,0.249
3d,129311,25,-0.533,-0.336
3d,129312,30,1.175,1.971
3d,129313,25,-0.649,0.423
3d,129314,21,0.256,0.111
3d,129315,24,-0.705,-0.512
3d,129316,28,-0.261,-0.33
3d,129317,26,0.967,1.215
3d,129318,29,-1.749,-0.905
3d,129319,21,-1.396,-0.479
3d,129320,23,1.066,1.733
3d,129321,27,-1.018,-0.86
3d,129322,25,1.723,2.674
3d,129323,20,-1.278,-0.37
3d,129324,28,-0.891,-0.572
3d,129325,22,0.453,0.287
3d,129326,29,0.626,0.083
3d,129327,28,0.339,0.813
3d,129328,21,-0.632,-0.136
3d,129329,27,-0.587,-0.686
3d,129330,25,-0.023,-0.303
3d,129331,17,0.617,0.211
3d,129332,25,0.686,-0.229
3d,129333,30,0.805,0.541
3d,129334,26,-0.337,-0.381
3d,129335,25,0.231,0.171
3d,129336,24,1.176,0.59
3d,129337,18,0.482,0.196
3d,129338,18,-1.256,-0.293
3d,129339,21,-0.38,-0.247
3d,129340,22,-1.361,-0.541
3d,129341,27,-0.94,-0.639
3d,129342,21,-0.749,-0.411
3d,129343,20,-0.719,-0.134
3d,129344,24,0.454,0.163
3d,129345,29,1.14,1.618
3d,129346,25,-0.889,-0.489
3d,129347,19,0.125,0.037
3d,129348,27,-1.045,-0.772
3d,129349,24,-0.639,-0.514
3d,129350,27,-0.444,-0.258
3d,129351,29,-0.095,-0.524
3d,129352,20,-0.65,-0.266
3d,129353,27,-1.272,-0.504
3d,129354,22,0.191,-0.339
3d,129355,17,-0.824,-0.197
3d,129356,27,1.26,0.632
3d,129357,19,-1.144,-0.367
3d,129358,28,-0.826,-0.647
3d,129359,25,0.161,-0.25
3d,129360,23,-0.399,-0.105
3d,129361,22,-1.407,-0.53
3d,129362,29,-0.962,-0.445
3d,129363,20,-0.515,0.128
3d,129364,22,-0.846,-0.22
3d,129365,20,-1.028,-0.406
3d,129366,27,0.577,0.716
3d,129367,21,-1.348,-0.474
3d,129368,28,0.19,-0.745
3d,129369,21,-1.433,-0.514
3d,129370,23,-0.51,-0.584
3d,129371,20,-1.1,-0.44
3d,129372,29,-0.93,-0.633
3d,129373,26,0.561,0.605
3d,129374,17,-1.124,-0.225
3d,129375,25,-1.211,-0.524
3d,129376,17,-0.906,-0.133
3d,129377,16,-0.693,-0.09
3d,129378,16,-1.034,-0.152
3d,129379,29,-1.609,-0.977
3d,129380,20,-0.602,-0.282
3d,129381,21,-0.705,-0.397
3d,129382,22,-1.221,-0.449
3d,129383,28,0.026,0.491
3d,129384,17,0.093,0.082
3d,129385,26,0.481,0.796
3d,129386,17,-1.119,-0.094
3d,129387,16,-0.922,-0.147
3d,129388,19,-0.822,-0.228
3d,129389,21,-1.279,-0.456
3d,129390,16,-1.071,-0.147
3d,129391,26,-1.479,-0.822
3d,129392,22,0.289,0.509
3d,129393,29,-0.14,-0.065
3d,129394,24,-1.459,-0.608
3d,129395,23,-1.179,-0.659
3d,129396,28,0.344,-0.318
3d,129397,20,-0.144,-0.089
3d,129398,19,-1.202,-0.344
3d,129399,29,-0.462,0.503
3d,129400,21,-1.051,-0.365
3d,129401,25,-0.856,-0.733
3d,129402,29,0.843,-0.355
3d,129403,24,-1.194,-0.292
3d,129404,18,-0.923,-0.243
3d,129405,20,-0.556,-0.216
3d,129406,27,1.312,0.242
3d,129407,28,-0.049,-1.004
3d,129408,22,-1.362,-0.54
3d,129409,29,-0.074,-0.681
3d,129410,25,-1.507,-0.692
3d,129411,26,1.12,-0.616
3d,129412,25,0.653,0.26
3d,129413,21,-1.066,-0.467
3d,129414,23,-0.942,-0.636
3d,129415,17,-1.111,-0.197
3d,129416,23,-0.775,-0.253
3d,129417,21,-0.968,-0.338
3d,129418,21,-0.475,-0.401
3d,129419,21,-0.577,-0.128
3d,129420,27,1.291,0.904
3d,129421,26,0.617,0.455
3d,129422,24,-0.853,-0.515
3d,129423,20,-0.053,-0.189
3d,129424,28,0.9,1.036
3d,129425,23,-0.619,-0.539
3d,129426,20,-1.271,-0.44
3d,129427,26,-0.451,-0.182
3d,129428,30,-1.406,-0.917
3d,129429,28,-0.006,1.091
3d,129430,29,-0.07,0.113
3d,129431,25,0.992,1.971
3d,129432,27,-0.315,0.023
3d,129433,19,-0.625,-0.163
3d,129434,25,-0.66,-0.624
3d,129435,22,-1.239,-0.534
3d,129436,20,0.623,-0.44
3d,129437,26,-0.779,-0.418
3d,129438,30,0.45,0.299
3d,129439,22,0.711,-0.204
3d,129440,23,-0.612,-0.549
3d,129441,25,0.95,1.93
3d,129442,22,-1.258,-0.478
3d,129443,27,-0.251,-0.742
3d,129444,18,-1.156,-0.237
3d,129445,20,-1.374,-0.44
3d,129446,18,-0.766,0.137
3d,129447,20,-0.734,-0.394
3d,129448,23,-0.082,-0.17
3d,129449,26,-1.047,-0.752
3d,129450,27,0.834,0.998
3d,129451,27,0.88,0.961
3d,129452,26,1.122,0.691
3d,129453,21,1.246,0.427
3d,129454,28,0.619,0.16
3d,129455,26,-1.498,-0.811
3d,129456,26,1.224,1.392
3d,129457,29,-1.566,-0.881
3d,129458,25,1.152,0.967
3d,129459,30,1.279,0.107
3d,129460,25,-0.845,-0.607
3d,129461,27,-0.514,-0.632
