data_id,age,sex,mom_ed,value,item_id,type,category,definition
145913,18,Female,Graduate,yes,item_1,first_signs,NA,respname
145913,18,Female,Graduate,yes,item_2,first_signs,NA,respno
145913,18,Female,Graduate,yes,item_3,first_signs,NA,reactmd
145913,18,Female,Graduate,understands,item_4,phrases,NA,arehngry
145913,18,Female,Graduate,understands,item_5,phrases,NA,aretired
145913,18,Female,Graduate,NA,item_6,phrases,NA,becarefl
145913,18,Female,Graduate,understands,item_7,phrases,NA,bequiet
145913,18,Female,Graduate,understands,item_8,phrases,NA,claphand
145913,18,Female,Graduate,understands,item_9,phrases,NA,cgdiaper
145913,18,Female,Graduate,understands,item_10,phrases,NA,comehere
145913,18,Female,Graduate,understands,item_11,phrases,NA,mdhome
145913,18,Female,Graduate,understands,item_12,phrases,NA,wantmore
145913,18,Female,Graduate,understands,item_13,phrases,NA,dontdo
145913,18,Female,Graduate,understands,item_14,phrases,NA,dontouch
145913,18,Female,Graduate,understands,item_15,phrases,NA,getup
145913,18,Female,Graduate,understands,item_16,phrases,NA,givemom
145913,18,Female,Graduate,understands,item_17,phrases,NA,givehug
145913,18,Female,Graduate,understands,item_18,phrases,NA,givekiss
145913,18,Female,Graduate,understands,item_19,phrases,NA,goget
145913,18,Female,Graduate,understands,item_20,phrases,NA,goodgb
145913,18,Female,Graduate,NA,item_21,phrases,NA,holdstil
145913,18,Female,Graduate,understands,item_22,phrases,NA,gobyebye
145913,18,Female,Graduate,NA,item_23,phrases,NA,lookhere
145913,18,Female,Graduate,understands,item_24,phrases,NA,openmth
145913,18,Female,Graduate,understands,item_25,phrases,NA,sitdown
145913,18,Female,Graduate,NA,item_26,phrases,NA,spitout
145913,18,Female,Graduate,understands,item_27,phrases,NA,stopit
145913,18,Female,Graduate,understands,item_28,phrases,NA,gonight
145913,18,Female,Graduate,understands,item_29,phrases,NA,throwbll
145913,18,Female,Graduate,NA,item_30,phrases,NA,litpiggy
145913,18,Female,Graduate,understands,item_31,phrases,NA,wantride
145913,18,Female,Graduate,often,item_32,starting_to_talk,NA,imitate
145913,18,Female,Graduate,sometimes,item_33,starting_to_talk,NA,label
145913,18,Female,Graduate,NA,item_34,word,sounds,baa baa
145913,18,Female,Graduate,NA,item_35,word,sounds,choo choo
145913,18,Female,Graduate,NA,item_36,word,sounds,cockadoodledoo
145913,18,Female,Graduate,produces,item_37,word,sounds,grrr
145913,18,Female,Graduate,NA,item_38,word,sounds,meow
145913,18,Female,Graduate,NA,item_39,word,sounds,moo
145913,18,Female,Graduate,produces,item_40,word,sounds,ouch
145913,18,Female,Graduate,produces,item_41,word,sounds,quack quack
145913,18,Female,Graduate,produces,item_42,word,sounds,uh oh
145913,18,Female,Graduate,NA,item_43,word,sounds,vroom
145913,18,Female,Graduate,produces,item_44,word,sounds,woof woof
145913,18,Female,Graduate,produces,item_45,word,sounds,yum yum
145913,18,Female,Graduate,NA,item_46,word,animals,animal
145913,18,Female,Graduate,NA,item_47,word,animals,bear
145913,18,Female,Graduate,NA,item_48,word,animals,bee
145913,18,Female,Graduate,NA,item_49,word,animals,bird
145913,18,Female,Graduate,NA,item_50,word,animals,bug
145913,18,Female,Graduate,NA,item_51,word,animals,bunny
145913,18,Female,Graduate,NA,item_52,word,animals,butterfly
145913,18,Female,Graduate,NA,item_53,word,animals,cat
145913,18,Female,Graduate,NA,item_54,word,animals,chicken (animal)
145913,18,Female,Graduate,NA,item_55,word,animals,cow
145913,18,Female,Graduate,NA,item_56,word,animals,deer
145913,18,Female,Graduate,produces,item_57,word,animals,dog
145913,18,Female,Graduate,NA,item_58,word,animals,donkey
145913,18,Female,Graduate,understands,item_59,word,animals,duck
145913,18,Female,Graduate,NA,item_60,word,animals,elephant
145913,18,Female,Graduate,understands,item_61,word,animals,fish (animal)
145913,18,Female,Graduate,NA,item_62,word,animals,frog
145913,18,Female,Graduate,NA,item_63,word,animals,giraffe
145913,18,Female,Graduate,NA,item_64,word,animals,goose
145913,18,Female,Graduate,understands,item_65,word,animals,horse
145913,18,Female,Graduate,NA,item_66,word,animals,kitty
145913,18,Female,Graduate,NA,item_67,word,animals,lamb
145913,18,Female,Graduate,NA,item_68,word,animals,lion
145913,18,Female,Graduate,understands,item_69,word,animals,monkey
145913,18,Female,Graduate,NA,item_70,word,animals,mouse
145913,18,Female,Graduate,NA,item_71,word,animals,owl
