data_id,age,sex,mom_ed,value,item_id,type,category,definition
129242,27,Female,Some Secondary,produces,item_1,word,sounds,baa baa
129242,27,Female,Some Secondary,NA,item_2,word,sounds,choo choo
129242,27,Female,Some Secondary,NA,item_3,word,sounds,cockadoodledoo
129242,27,Female,Some Secondary,produces,item_4,word,sounds,grrr
129242,27,Female,Some Secondary,NA,item_5,word,sounds,meow
129242,27,Female,Some Secondary,NA,item_6,word,sounds,moo
129242,27,Female,Some Secondary,produces,item_7,word,sounds,ouch
129242,27,Female,Some Secondary,NA,item_8,word,sounds,quack quack
129242,27,Female,Some Secondary,produces,item_9,word,sounds,uh oh
129242,27,Female,Some Secondary,NA,item_10,word,sounds,vroom
129242,27,Female,Some Secondary,NA,item_11,word,sounds,woof woof
129242,27,Female,Some Secondary,produces,item_12,word,sounds,yum yum
129242,27,Female,Some Secondary,NA,item_13,word,animals,alligator
129242,27,Female,Some Secondary,produces,item_14,word,animals,animal
129242,27,Female,Some Secondary,NA,item_15,word,animals,ant
129242,27,Female,Some Secondary,produces,item_16,word,animals,bear
129242,27,Female,Some Secondary,NA,item_17,word,animals,bee
129242,27,Female,Some Secondary,produces,item_18,word,animals,bird
129242,27,Female,Some Secondary,produces,item_19,word,animals,bug
129242,27,Female,Some Secondary,produces,item_20,word,animals,bunny
129242,27,Female,Some Secondary,NA,item_21,word,animals,butterfly
129242,27,Female,Some Secondary,produces,item_22,word,animals,cat
129242,27,Female,Some Secondary,produces,item_23,word,animals,chicken (animal)
129242,27,Female,Some Secondary,NA,item_24,word,animals,cow
129242,27,Female,Some Secondary,NA,item_25,word,animals,deer
129242,27,Female,Some Secondary,produces,item_26,word,animals,dog
129242,27,Female,Some Secondary,NA,item_27,word,animals,donkey
129242,27,Female,Some Secondary,produces,item_28,word,animals,duck
129242,27,Female,Some Secondary,NA,item_29,word,animals,elephant
129242,27,Female,Some Secondary,produces,item_30,word,animals,fish (animal)
129242,27,Female,Some Secondary,NA,item_31,word,animals,frog
129242,27,Female,Some Secondary,NA,item_32,word,animals,giraffe
129242,27,Female,Some Secondary,NA,item_33,word,animals,goose
129242,27,Female,Some Secondary,NA,item_34,word,animals,hen
129242,27,Female,Some Secondary,produces,item_35,word,animals,horse
129242,27,Female,Some Secondary,produces,item_36,word,animals,kitty
129242,27,Female,Some Secondary,NA,item_37,word,animals,lamb
129242,27,Female,Some Secondary,NA,item_38,word,animals,lion
129242,27,Female,Some Secondary,produces,item_39,word,animals,monkey
129242,27,Female,Some Secondary,NA,item_40,word,animals,moose
129242,27,Female,Some Secondary,produces,item_41,word,animals,mouse
129242,27,Female,Some Secondary,NA,item_42,word,animals,owl
129242,27,Female,Some Secondary,produces,item_43,word,animals,penguin
129242,27,Female,Some Secondary,NA,item_44,word,animals,pig
129242,27,Female,Some Secondary,produces,item_45,word,animals,pony
129242,27,Female,Some Secondary,produces,item_46,word,animals,puppy
129242,27,Female,Some Secondary,NA,item_47,word,animals,rooster
129242,27,Female,Some Secondary,NA,item_48,word,animals,sheep
129242,27,Female,Some Secondary,NA,item_49,word,animals,squirrel
129242,27,Female,Some Secondary,produces,item_50,word,animals,teddybear
129242,27,Female,Some Secondary,NA,item_51,word,animals,tiger
129242,27,Female,Some Secondary,NA,item_52,word,animals,turkey
129242,27,Female,Some Secondary,NA,item_53,word,animals,turtle
129242,27,Female,Some Secondary,NA,item_54,word,animals,wolf
129242,27,Female,Some Secondary,NA,item_55,word,animals,zebra
129242,27,Female,Some Secondary,produces,item_56,word,vehicles,airplane
129242,27,Female,Some Secondary,produces,item_57,word,vehicles,bicycle
129242,27,Female,Some Secondary,produces,item_58,word,vehicles,boat
129242,27,Female,Some Secondary,produces,item_59,word,vehicles,bus
129242,27,Female,Some Secondary,produces,item_60,word,vehicles,car
129242,27,Female,Some Secondary,produces,item_61,word,vehicles,firetruck
129242,27,Female,Some Secondary,produces,item_62,word,vehicles,helicopter
129242,27,Female,Some Secondary,produces,item_63,word,vehicles,motorcycle
129242,27,Female,Some Secondary,NA,item_64,word,vehicles,sled
129242,27,Female,Some Secondary,produces,item_65,word,vehicles,stroller
129242,27,Female,Some Secondary,NA,item_66,word,vehicles,tractor
129242,27,Female,Some Secondary,produces,item_67,word,vehicles,train
129242,27,Female,Some Secondary,produces,item_68,word,vehicles,tricycle
129242,27,Female,Some Secondary,produces,item_69,word,vehicles,truck
129242,27,Female,Some Secondary,produces,item_70,word,toys,ball
129242,27,Female,Some Secondary,produces,item_71,word,toys,balloon
129242,27,Female,Some Secondary,NA,item_72,word,toys,bat
129242,27,Female,Some Secondary,produces,item_73,word,toys,block
129242,27,Female,Some Secondary,produces,item_74,word,toys,book
129242,27,Female,Some Secondary,produces,item_75,word,toys,bubbles
129242,27,Female,Some Secondary,NA,item_76,word,toys,chalk
129242,27,Female,Some Secondary,produces,item_77,word,toys,crayon
129242,27,Female,Some Secondary,produces,item_78,word,toys,doll
129242,27,Female,Some Secondary,produces,item_79,word,toys,game
129242,27,Female,Some Secondary,NA,item_80,word,toys,glue
129242,27,Female,Some Secondary,produces,item_81,word,toys,pen
129242,27,Female,Some Secondary,produces,item_82,word,toys,pencil
129242,27,Female,Some Secondary,NA,item_83,word,toys,play dough
129242,27,Female,Some Secondary,produces,item_84,word,toys,present
129242,27,Female,Some Secondary,NA,item_85,word,toys,puzzle
129242,27,Female,Some Secondary,produces,item_86,word,toys,story
129242,27,Female,Some Secondary,produces,item_87,word,toys,toy (object)
129242,27,Female,Some Secondary,produces,item_88,word,food_drink,apple
129242,27,Female,Some Secondary,NA,item_89,word,food_drink,applesauce
129242,27,Female,Some Secondary,produces,item_90,word,food_drink,banana
129242,27,Female,Some Secondary,produces,item_91,word,food_drink,beans
129242,27,Female,Some Secondary,produces,item_92,word,food_drink,bread
129242,27,Female,Some Secondary,NA,item_93,word,food_drink,butter
129242,27,Female,Some Secondary,produces,item_94,word,food_drink,cake
129242,27,Female,Some Secondary,produces,item_95,word,food_drink,candy
129242,27,Female,Some Secondary,produces,item_96,word,food_drink,carrots
129242,27,Female,Some Secondary,produces,item_97,word,food_drink,cereal
129242,27,Female,Some Secondary,produces,item_98,word,food_drink,cheerios
129242,27,Female,Some Secondary,produces,item_99,word,food_drink,cheese
129242,27,Female,Some Secondary,produces,item_100,word,food_drink,chicken (food)
129242,27,Female,Some Secondary,produces,item_101,word,food_drink,chocolate
129242,27,Female,Some Secondary,NA,item_102,word,food_drink,coffee
129242,27,Female,Some Secondary,produces,item_103,word,food_drink,coke
129242,27,Female,Some Secondary,produces,item_104,word,food_drink,cookie
129242,27,Female,Some Secondary,produces,item_105,word,food_drink,corn
129242,27,Female,Some Secondary,produces,item_106,word,food_drink,cracker
129242,27,Female,Some Secondary,produces,item_107,word,food_drink,donut
129242,27,Female,Some Secondary,produces,item_108,word,food_drink,drink (beverage)
129242,27,Female,Some Secondary,produces,item_109,word,food_drink,egg
129242,27,Female,Some Secondary,NA,item_110,word,food_drink,fish (food)
129242,27,Female,Some Secondary,produces,item_111,word,food_drink,food
129242,27,Female,Some Secondary,produces,item_112,word,food_drink,french fries
129242,27,Female,Some Secondary,produces,item_113,word,food_drink,grapes
129242,27,Female,Some Secondary,NA,item_114,word,food_drink,green beans
129242,27,Female,Some Secondary,produces,item_115,word,food_drink,gum
129242,27,Female,Some Secondary,produces,item_116,word,food_drink,hamburger
129242,27,Female,Some Secondary,produces,item_117,word,food_drink,ice
129242,27,Female,Some Secondary,produces,item_118,word,food_drink,ice cream
129242,27,Female,Some Secondary,produces,item_119,word,food_drink,jello
129242,27,Female,Some Secondary,produces,item_120,word,food_drink,jelly
129242,27,Female,Some Secondary,produces,item_121,word,food_drink,juice
129242,27,Female,Some Secondary,produces,item_122,word,food_drink,lollipop
129242,27,Female,Some Secondary,produces,item_123,word,food_drink,meat
129242,27,Female,Some Secondary,produces,item_124,word,food_drink,melon
129242,27,Female,Some Secondary,produces,item_125,word,food_drink,milk
129242,27,Female,Some Secondary,produces,item_126,word,food_drink,muffin
129242,27,Female,Some Secondary,produces,item_127,word,food_drink,noodles
129242,27,Female,Some Secondary,produces,item_128,word,food_drink,nuts
129242,27,Female,Some Secondary,produces,item_129,word,food_drink,orange (food)
