category,label,n
action_words,L_ACTION,103
animals,L_ANIMAL,43
body_parts,L_BODYP,27
clothing,L_CLOTH,28
connecting_words,S_CONJ,6
descriptive_words,L_DESCRB,63
food_drink,L_FOOD,68
furniture_rooms,L_ROOMS,33
games_routines,L_GAMES,25
helping_verbs,S_HELPV,21
household,L_HOUSEH,50
locations,L_LOCATE,26
outside,L_OUTSDE,31
people,L_PEOPLE,29
places,L_PLACES,22
pronouns,S_PRON,25
quantifiers,S_QUANT,17
question_words,S_QWORDS,7
sounds,L_SOUNDS,12
time_words,S_TIME,12
toys,L_TOYS,18
vehicles,L_VEHICL,14
complexity,S_COMPLX,37
word_end_n,S_WE_N,5
word_end_v,S_WE_V,20
word_form_n,S_WF_N,14
word_form_v,S_WF_V,31
