definition,g.cat,s.cat
airplane,vehicles,vehicles
all,quantifiers,quantifiers
all gone,descriptive_words,descriptive_words
animal,animals,animals
another,quantifiers,quantifiers
apple,food_drink,food_drink
arm,body_parts,body_parts
asleep,descriptive_words,descriptive_words
aunt,people,people
away,locations,locations
baa baa,sounds,sounds
baby,people,people
babysitter,people,people
babysitter's name,people,people
back,locations,locations
backyard,outside,outside
bad,descriptive_words,descriptive_words
ball,toys,toys
balloon,toys,toys
banana,food_drink,food_drink
bath,games_routines,games_routines
bathroom,furniture_rooms,furniture_rooms
bathtub,furniture_rooms,furniture_rooms
beach,outside,places
beads,clothing,clothing
bear,animals,animals
bed,furniture_rooms,furniture_rooms
bedroom,furniture_rooms,furniture_rooms
bee,animals,animals
belly button,body_parts,body_parts
bib,clothing,clothing
bicycle,vehicles,vehicles
big,descriptive_words,descriptive_words
bird,animals,animals
bite,action_words,action_words
blanket,household,household
block,toys,toys
blow,action_words,action_words
blue,descriptive_words,descriptive_words
book,toys,toys
boots,clothing,clothing
bottle,household,household
bowl,household,household
box,household,household
boy,people,people
bread,food_drink,food_drink
break,action_words,action_words
breakfast,games_routines,games_routines
bring,action_words,action_words
broken,descriptive_words,descriptive_words
broom,household,household
brother,people,people
brush,household,household
bubbles,toys,toys
bug,animals,animals
bump,action_words,action_words
bunny,animals,animals
bus,vehicles,vehicles
butter,food_drink,food_drink
butterfly,animals,animals
button,clothing,clothing
bye,games_routines,games_routines
cake,food_drink,food_drink
candy,food_drink,food_drink
car,vehicles,vehicles
careful,descriptive_words,descriptive_words
carrots,food_drink,food_drink
cat,animals,animals
cereal,food_drink,food_drink
chair,furniture_rooms,furniture_rooms
cheek,body_parts,body_parts
cheerios,food_drink,food_drink
cheese,food_drink,food_drink
chicken (animal),animals,animals
chicken (food),food_drink,food_drink
child,people,people
child's own name,people,people
choo choo,sounds,sounds
church*,outside,places
clean (action),action_words,action_words
clean (description),descriptive_words,descriptive_words
clock,household,household
close,action_words,action_words
coat,clothing,clothing
cockadoodledoo,sounds,sounds
coffee,food_drink,food_drink
cold,descriptive_words,descriptive_words
comb,household,household
cookie,food_drink,food_drink
couch,furniture_rooms,furniture_rooms
cow,animals,animals
cracker,food_drink,food_drink
crib,furniture_rooms,furniture_rooms
cry,action_words,action_words
cup,household,household
cute,descriptive_words,descriptive_words
daddy*,people,people
dance,action_words,action_words
dark,descriptive_words,descriptive_words
day,time_words,time_words
deer,animals,animals
diaper,clothing,clothing
dinner,games_routines,games_routines
dirty,descriptive_words,descriptive_words
dish,household,household
dog,animals,animals
doll,toys,toys
don't,games_routines,helping_verbs
donkey,animals,animals
door,furniture_rooms,furniture_rooms
down,locations,locations
draw,action_words,action_words
drawer,furniture_rooms,furniture_rooms
dress (object),clothing,clothing
drink (action),action_words,action_words
drink (beverage),food_drink,food_drink
drive,action_words,action_words
dry (description),descriptive_words,descriptive_words
duck,animals,animals
ear,body_parts,body_parts
eat,action_words,action_words
egg,food_drink,food_drink
elephant,animals,animals
empty,descriptive_words,descriptive_words
eye,body_parts,body_parts
face,body_parts,body_parts
fall,action_words,action_words
fast,descriptive_words,descriptive_words
feed,action_words,action_words
fine,descriptive_words,descriptive_words
finger,body_parts,body_parts
finish,action_words,action_words
firetruck,vehicles,vehicles
fish (animal),animals,animals
fish (food),food_drink,food_drink
flower,outside,outside
food,food_drink,food_drink
foot,body_parts,body_parts
fork,household,household
frog,animals,animals
garage,furniture_rooms,furniture_rooms
garden,outside,outside
gentle,descriptive_words,descriptive_words
get,action_words,action_words
giraffe,animals,animals
girl,people,people
give,action_words,action_words
glass,household,household
glasses,household,household
go,action_words,action_words
good,descriptive_words,descriptive_words
goose,animals,animals
grandma*,people,people
grandpa*,people,people
grrr,sounds,sounds
hair,body_parts,body_parts
hammer,household,household
hand,body_parts,body_parts
happy,descriptive_words,descriptive_words
hard,descriptive_words,descriptive_words
hat,clothing,clothing
head,body_parts,body_parts
hello,games_routines,games_routines
help,action_words,action_words
her,pronouns,pronouns
hi,games_routines,games_routines
high chair,furniture_rooms,furniture_rooms
his,pronouns,pronouns
hit,action_words,action_words
home,outside,places
horse,animals,animals
hot,descriptive_words,descriptive_words
house,outside,places
how,question_words,question_words
hug,action_words,action_words
hungry,descriptive_words,descriptive_words
hurry,action_words,action_words
hurt,descriptive_words,descriptive_words
I,pronouns,pronouns
ice cream,food_drink,food_drink
inside,locations,locations
it,pronouns,pronouns
jacket,clothing,clothing
jeans,clothing,clothing
juice,food_drink,food_drink
jump,action_words,action_words
keys,household,household
kick,action_words,action_words
kiss,action_words,action_words
kitchen,furniture_rooms,furniture_rooms
kitty,animals,animals
knee,body_parts,body_parts
lady,people,people
lamb,animals,animals
lamp,household,household
later,time_words,time_words
leg,body_parts,body_parts
light,household,household
lion,animals,animals
little (description),descriptive_words,descriptive_words
living room,furniture_rooms,furniture_rooms
look,action_words,action_words
love,action_words,action_words
lunch,games_routines,games_routines
man,people,people
me,pronouns,pronouns
meat,food_drink,food_drink
medicine,household,household
meow,sounds,sounds
milk,food_drink,food_drink
mine,pronouns,pronouns
mommy*,people,people
money,household,household
monkey,animals,animals
moo,sounds,sounds
moon,outside,outside
more,quantifiers,quantifiers
morning,time_words,time_words
motorcycle,vehicles,vehicles
mouse,animals,animals
mouth,body_parts,body_parts
my,pronouns,pronouns
nap,games_routines,games_routines
naughty,descriptive_words,descriptive_words
necklace,clothing,clothing
nice,descriptive_words,descriptive_words
night,time_words,time_words
night night,games_routines,games_routines
no,games_routines,games_routines
none,quantifiers,quantifiers
noodles,food_drink,food_drink
nose,body_parts,body_parts
not,quantifiers,quantifiers
now,time_words,time_words
off,locations,locations
old,descriptive_words,descriptive_words
on,locations,locations
open,action_words,action_words
orange (food),food_drink,food_drink
other,quantifiers,quantifiers
